PIRS District,PIRS Subcounty,subcounty_pop_adjusted
Katakwi District,Usuk Subcounty,21860.72
Serere District,Labori Subcounty,20473.31
Amuria District,Abarilela Subcounty,25018.7
Amuria District,Orungo Subcounty,15200.74
Kampala District,Central Division,154846.08000000002
Soroti District,Arapai Subcounty,41640.840000000004
Ngora District,Ngora Subcounty,29478.600000000002
Kalungu District,Lukaya Town Council,49775.78
Kabale District,Southern Division,21434.3
Kampala District,Central Division,154846.08000000002
Ngora District,Mukura Subcounty,34593.58
Katakwi District,Ongongoja Subcounty,16911.57
Katakwi District,Katakwi Subcounty,38009.06
Masindi District,Pakanyi Subcounty,60154.060000000005
Kampala District,Makindye Division,809596.48
Kibaale District,Kasimbi Subcounty,10341.2
Kaberamaido District,Alwa Subcounty,24031.96
Amuria District,Apeduru Subcounty,15159.54
Amuria District,Amuria Town Council,7479.860000000001
Amuria District,Kuju Subcounty,18607.98
Bushenyi District,Kyamuhunga Town Council,15298.59
Serere District,Bugondo Subcounty,36542.340000000004
Kiryandongo District,Kigumba Subcounty,45258.200000000004
Pallisa District,Apopong Subcounty,27040.59
Soroti District,Arapai Subcounty,41640.840000000004
Mityana District,Kakindu Subcounty,37951.38
Katakwi District,Katakwi Town Council,7990.74
Soroti District,Asuret Subcounty,40827.14
Tororo District,Kwapa Subcounty,20764.8
Serere District,Atiira Subcounty,21018.18
Kumi District,Atutur Subcounty,22217.100000000002
Buliisa District,Ngwedo Subcounty,17996.16
Mayuge District,Baitambogwe Subcounty,39087.47
Kamuli District,Balawoli Subcounty,55926.94
Nakasongola District,Kalongo Subcounty,40112.32
Luwero District,Bamunanika Subcounty,59276.5
Kayunga District,Bbaale Subcounty,35368.14
Wakiso District,Wakiso Subcounty,364166.8
Bududa District,Bulucheke Subcounty,15562.27
Kampala District,Nakawa Division,653067.38
Nakaseke District,Kasangombe Subcounty,44819.42
Bukomansimbi District,Bigasa Subcounty,86536.48
Rubanda District,Nyamweru Subcounty,17880.8
Buhweju District,Bihanga Subcounty,13747.41
Kween District,Binyiny Town Council,3386.64
Kakumiro District,Birembo Subcounty,28277.62
Ibanda District,Bisheshe Division,32485.170000000002
Tororo District,Western Division,23630.260000000002
Kamwenge District,Nkoma Subcounty,32912.62
Mitooma District,Bitereko Subcounty,28712.280000000002
Namayingo District,Lolwe Subcounty,12555.7
Luwero District,Bombo Town Council,53213.92
Luwero District,Bombo Town Council,53213.92
Luwero District,Makulubita Subcounty,67767.82
Mbarara District,Bubaare Subcounty,23131.74
Butaleja District,Busolwe Subcounty,15293.44
Mitooma District,Kashenshero Town Council,5928.68
Kibaale District,Bubango Subcounty,18697.59
Rubanda District,Bubaare Subcounty,34834.6
Kalangala District,Bubeke Subcounty,10573.98
Bundibugyo District,Bubukwanga Subcounty,11680.2
Manafwa District,Manafwa Town Council,14054.35
Bududa District,Bushika Subcounty,31853.780000000002
Namisindwa District,Bubutu Subcounty,23920.72
Rukiga District,Kashambya Subcounty,26839.74
Sironko District,Budadiri Town Council,17511.03
Budaka District,Budaka Town Council,24523.27
Jinja District,Butagaya Subcounty,55152.380000000005
Kaliro District,Budomero Subcounty,25070.2
Masindi District,Budongo Subcounty,53493.05
Bududa District,Bududa Town Council,7002.97
Mbale District,Budwale Subcounty,7899.070000000001
Bududa District,Bumayoka Subcounty,19828.53
Kalangala District,Bufumira Subcounty,21201.52
Ibanda District,Bufunda Division,39188.41
Rubanda District,Bufundi Subcounty,26358.73
Butaleja District,Nawanjofu Subcounty,20209.63
Namayingo District,Bukana Subcounty,8794.14
Buliisa District,Buliisa Subcounty,17652.14
Rukungiri District,Bugangari Subcounty,30840.260000000002
Buvuma District,Bugaya Subcounty,9978.64
Luwero District,Kalagala Subcounty,91814.2
Kamuli District,Butansi Subcounty,30457.100000000002
Bulambuli District,Buginyanya Subcounty,5683.54
Bugiri District,Buwunga Subcounty,48164.86
Bugiri District,Western Division,15370.69
Kanungu District,Kanyantorogo Subcounty,19517.47
Bugiri District,Budhaya Subcounty,29326.16
Bugiri District,Eastern Division,14238.720000000001
Sironko District,Bugitimwa Subcounty,8750.880000000001
Manafwa District,Bugobero Subcounty,13825.69
Buliisa District,Butiaba Subcounty,29778.33
Serere District,Bugondo Subcounty,36542.340000000004
Sheema District,Bugongi Town Council,11893.41
Iganga District,Nabitende Subcounty,29132.52
Kasese District,Bugoye Subcounty,36596.93
Kamuli District,Bugulumbya Subcounty,37369.43
Kasese District,Rukoki Subcounty,14418.970000000001
Kabale District,Buhara Subcounty,26469.97
Kabale District,Buhara Subcounty,26469.97
Busia District,Buhehe Subcounty,20505.24
Kisoro District,Busanza Subcounty,18399.920000000002
Sironko District,Bumalimba Subcounty,17417.3
Rukungiri District,Buhunga Subcounty,22750.64
Buikwe District,Buikwe Town Council,34080.64
Buikwe District,Wakisi Division,84727.8
Mpigi District,Muduuma Subcounty,63110.16
Masaka District,Bukakata Subcounty,36550.58
Gomba District,Kyegonza Subcounty,62294.4
Luwero District,Wobulenzi Town Council,55718.880000000005
Bududa District,Bukalasi Subcounty,13293.18
Kayunga District,Nazigo Subcounty,88019.68000000001
Luuka District,Bukanga Subcounty,42912.89
Bundibugyo District,Bukonzo Subcounty,11007.61
Mpigi District,Kituntu Subcounty,45878.26
Kalangala District,Kyamuswa Subcounty,9745.86
Bukedea District,Bukedea Town Council,11254.81
Masaka District,Buwunga Subcounty,86969.08
Luuka District,Bulongo Subcounty,29094.41
Manafwa District,Buwagogo Subcounty,7203.820000000001
Namisindwa District,Bukhabusi Subcounty,10148.59
Bulambuli District,Bukhalu Subcounty,28885.32
Bududa District,Bukibokolo Subcounty,10343.26
Mbale District,Bukiende Subcounty,22469.45
Bududa District,Bukigai Subcounty,18288.68
Namayingo District,Buhemba Subcounty,28444.48
Kisoro District,Nyundo Subcounty,13554.800000000001
Rukiga District,Muhanga Town Council,12110.74
Kiboga District,Bukomero Town Council,29214.920000000002
Luuka District,Bukooma Subcounty,40382.18
Kampala District,Nakawa Division,653067.38
Mitooma District,Kashenshero Subcounty,12453.73
Kalungu District,Bukulula Subcounty,90407.22
Bukwo District,Bukwo Town Council,7816.67
Bukwo District,Bukwo Town Council,7816.67
Iganga District,Bulamogi Subcounty,30295.39
Namutumba District,Bulange Subcounty,46023.49
Mityana District,Bulera Subcounty,61851.5
Bugiri District,Bulesa Subcounty,40918.81
Bugiri District,Bulidha Subcounty,25000.16
Buliisa District,Buliisa Subcounty,17652.14
Buliisa District,Buliisa Town Council,7455.14
Butambala District,Bulo Subcounty,38979.32
Wakiso District,Mende Subcounty,54233.62
Kamuli District,Bulopa Subcounty,29776.27
Mayuge District,Baitambogwe Subcounty,39087.47
Bududa District,Bulucheke Subcounty,15562.27
Bulambuli District,Buluganya Subcounty,13332.32
Bugiri District,Buluguyi Subcounty,32353.33
Sironko District,Zesui Subcounty,11105.460000000001
Busia District,Bulumbi Subcounty,15749.73
Kamuli District,Mbulamuti Subcounty,30392.21
Sironko District,Bumasifwa Subcounty,10625.48
Mbale District,Bubyangu Subcounty,21670.170000000002
Kaliro District,Bumanya Subcounty,26739.83
Mbale District,Bumasikye Subcounty,12636.04
Bulambuli District,Bumasobo Subcounty,8286.35
Namayingo District,Buswale Subcounty,27564.86
Bulambuli District,Sisiyi Subcounty,13399.27
Sironko District,Zesui Subcounty,11105.460000000001
Bududa District,Nalwanza Subcounty,9157.73
Bulambuli District,Lusha Subcounty,9078.42
Namisindwa District,Bumwoni Subcounty,19856.34
Namisindwa District,Tsekululu Subcounty,16908.48
Bulambuli District,Bunambutye Subcounty,8642.73
Wakiso District,Bunamwaya Division,149417.98
Mbale District,Bungokho Subcounty,29464.18
Sironko District,Bumasifwa Subcounty,10625.48
Sironko District,Bukhulo Subcounty,18643.0
Bundibugyo District,Bundibugyo Town Council,19520.56
Mpigi District,Buwama Subcounty,104052.66
Kamwenge District,Busiriba Subcounty,28885.32
Iganga District,Nawanyingi Subcounty,26387.57
Kamuli District,Nawanyago Subcounty,24554.170000000002
Namisindwa District,Namisindwa Town Council,2434.92
Hoima District,Kyabigambire Subcounty,42208.37
Rukungiri District,Ruhinda Subcounty,26577.09
Kagadi District,Burora Subcounty,13508.45
Mayuge District,Busakira Subcounty,29969.91
Kayunga District,Kayunga Subcounty,86070.92
Butaleja District,Busaba Subcounty,25443.06
Buikwe District,Kawolo Division,84398.2
Butaleja District,Busabi Subcounty,18807.8
Buvuma District,Busamuzi Subcounty,33551.22
Mbale District,Busano Subcounty,15277.99
Kisoro District,Busanza Subcounty,18399.920000000002
Bundibugyo District,Busaru Subcounty,15285.2
Wakiso District,Masuliita Subcounty,22070.84
Jinja District,Busedde Subcounty,37818.51
Hoima District,Buseruka Subcounty,43780.15
Kibuku District,Buseta Subcounty,17191.73
Bududa District,Nakatsi Subcounty,11203.31
Mbale District,Bungokho Subcounty,29464.18
Bududa District,Bushiyi Subcounty,16223.53
Busia District,Western Division,23548.89
Namayingo District,Banda Subcounty,44645.35
Busia District,Busitema Subcounty,17860.2
Mbale District,Busiu Town Council,2040.43
Butaleja District,Busolwe Town Council,14049.2
Kamuli District,Southern Division,29573.36
Iganga District,Nakigo Subcounty,40457.37
Wakiso District,Bussi Subcounty,32603.620000000003
Mityana District,Busunju Town Council,14685.74
Namayingo District,Buswale Subcounty,27564.86
Butambala District,Kibibi Subcounty,29777.3
Ntungamo District,Ntungamo Subcounty,32104.07
Kampala District,Nakawa Division,653067.38
Jinja District,Butagaya Subcounty,55152.380000000005
Butaleja District,Butaleja Town Council,20147.83
Kabale District,Butanda Subcounty,18674.93
Kamuli District,Butansi Subcounty,30457.100000000002
Mubende District,Kigando Subcounty,83522.7
Busia District,Buteba Subcounty,28366.2
Hoima District,Buhanika Subcounty,14597.16
Kyankwanzi District,Butemba Town Council,29552.760000000002
Sironko District,Buteza Subcounty,11612.220000000001
Manafwa District,Butiru Subcounty,18211.43
Manafwa District,Butiru Subcounty,18211.43
Kanungu District,Butogota Town Council,10624.45
Mubende District,Butoloogo Subcounty,91410.44
Mpigi District,Kammengo Subcounty,80181.38
Kyenjojo District,Butunduzi Town Council,14534.33
Luwero District,Butuntumula Subcounty,72746.84
Luwero District,Butuntumula Subcounty,72746.84
Buvuma District,Buvuma Town Council,20466.100000000002
Namisindwa District,Buwabwala Subcounty,7118.33
Buikwe District,Nyenga Division,102227.5
Mayuge District,Buwaaya Subcounty,21910.16
Sironko District,Buwalasi Subcounty,14108.94
Wakiso District,Gombe Division,157876.34
Mbale District,Busano Subcounty,15277.99
Sironko District,Buwasa Subcounty,9004.26
Busia District,Buyanga Subcounty,18909.77
Jinja District,Buwenge Subcounty,48014.48
Jinja District,Buwenge Town Council,22789.78
Jinja District,Buwenge Town Council,22789.78
Buvuma District,Buwooya Subcounty,26435.98
Masaka District,Buwunga Subcounty,86969.08
Bulambuli District,Bukhalu Subcounty,28885.32
Rakai District,Ddwaniro Subcounty,67596.84
Rakai District,Ddwaniro Subcounty,67596.84
Rukungiri District,Buyanja Town Council,5181.93
Wakiso District,Kasanje Subcounty,59756.48
Buyende District,Bugaya Subcounty,86463.35
Buyende District,Buyende Town Council,23897.03
Mpigi District,Kammengo Subcounty,80181.38
Namayingo District,Namayingo Town Council,16212.2
Bukomansimbi District,Kibinge Subcounty,67561.82
Buikwe District,Nyenga Division,102227.5
Kabarole District,Busoro Subcounty,26763.52
Kabale District,Kitumba Subcounty,19499.96
Rukungiri District,Bwambara Subcounty,29741.25
Buvuma District,Bweema Subcounty,18074.44
Kalangala District,Bujumba Subcounty,23805.36
Wakiso District,Bweyogerere Division,220094.52000000002
Wakiso District,Bweyogerere Division,220094.52000000002
Masindi District,Bwijanga Subcounty,53646.520000000004
Kagadi District,Bwikara Subcounty,42881.99
Bulambuli District,Bwikhonge Subcounty,7997.95
Rubanda District,Nyamweru Subcounty,17880.8
Kamwenge District,Bwizi Subcounty,29626.920000000002
Rakai District,Byakabanda Subcounty,38635.3
Kisoro District,Murora Subcounty,19785.27
Kapchorwa District,Munarya Subcounty,5680.45
Kween District,Benet Subcounty,11450.51
Kapchorwa District,Kapsinda Subcounty,7651.87
Bukwo District,Chesower Subcounty,6751.650000000001
Kampala District,Nakawa Division,653067.38
Buikwe District,Nyenga Division,102227.5
Bushenyi District,Kyamuhunga Town Council,15298.59
Kaliro District,Kaliro Town Council,17255.59
Kibuku District,Kibuku Town Council,8762.210000000001
Wakiso District,Nabweru Division,218905.9
Rukungiri District,Nyarushanje Subcounty,46229.49
Busia District,Dabani Subcounty,30016.260000000002
Soroti District,Arapai Subcounty,41640.840000000004
Buikwe District,Ngogwe Subcounty,73179.44
Kiryandongo District,Kiryandongo Subcounty,82767.71
Kiryandongo District,Mutunda Subcounty,65081.58
Mpigi District,Nkozi Subcounty,86771.32
Mpigi District,Mpigi Town Council,89321.6
Butaleja District,Budumba Subcounty,23699.27
Hoima District,Kitoba Subcounty,35854.3
Kamwenge District,Kamwenge Town Council,19864.58
Bundibugyo District,Ntandi Town Council,7804.31
Kibaale District,Kibaale Town Council,6849.5
Isingiro District,Endiinzi Town Council,7516.9400000000005
Buhweju District,Engaju Subcounty,19550.43
Wakiso District,Division A,81337.04000000001
Butambala District,Kalamba Subcounty,40200.9
Mukono District,Central Division,143522.26
Wakiso District,Kasangati Town Council,293263.66000000003
Kiruhura District,Kinoni Subcounty,21272.59
Kampala District,Nakawa Division,653067.38
Mpigi District,Kiringente Subcounty,46813.5
Nakasongola District,Kakooge Town Council,18490.56
Kaliro District,Gadumire Subcounty,27267.190000000002
Kagadi District,Muhorro Subcounty,14944.27
Kayunga District,Galiraya Subcounty,49755.18
Bulambuli District,Namisuni Subcounty,8932.16
Kapchorwa District,Gamogo Subcounty,3477.28
Kisoro District,Nyabwishenya Subcounty,15641.58
Kisoro District,Bukimbiri Subcounty,15838.310000000001
Mpigi District,Kammengo Subcounty,80181.38
Mpigi District,Nkozi Subcounty,86771.32
Wakiso District,Bweyogerere Division,220094.52000000002
Kyenjojo District,Kyenjojo Town Council,23648.8
Pallisa District,Gogonyo Subcounty,31318.18
Mukono District,Goma Division,191660.34
Wakiso District,Gombe Division,157876.34
Butambala District,Gombe Town Council,32039.18
Soroti District,Gweri Subcounty,49334.94
Namayingo District,Lolwe Subcounty,12555.7
Rubanda District,Hamurwa Town Council,5253.0
Buikwe District,Buikwe Town Council,34080.64
Buikwe District,Buikwe Town Council,34080.64
Kasese District,Hima Town Council,13529.050000000001
Luwero District,Kikyusa Subcounty,71562.34
Kyenjojo District,Butiiti Subcounty,19420.65
Kampala District,Makindye Division,809596.48
Mbale District,Bukiende Subcounty,22469.45
Sheema District,Bugongi Town Council,11893.41
Namayingo District,Buyinja Subcounty,23094.66
Ibanda District,Kagango Division,36275.57
Ibanda District,Kagango Division,36275.57
Iganga District,Central Division,31358.350000000002
Iganga District,Central Division,31358.350000000002
Iganga District,Northern Division,25562.54
Kasese District,Ihandiro Subcounty,13658.83
Manafwa District,Bukhofu Subcounty,7588.01
Luuka District,Nawampiti Subcounty,21952.39
Rubanda District,Ikumba Subcounty,19111.65
Luuka District,Ikumbya Subcounty,35306.340000000004
Kisoro District,Bukimbiri Subcounty,15838.310000000001
Luuka District,Irongo Subcounty,27215.690000000002
Kabarole District,Kasenda Subcounty,24812.7
Ibanda District,Ishongororo Town Council,22925.74
Isingiro District,Isingiro Town Council,28830.73
Isingiro District,Isingiro Town Council,28830.73
Kasese District,Maliba Subcounty,48051.56
Kagadi District,Kyanaisoke Subcounty,15780.630000000001
Ntungamo District,Itojo Subcounty,22943.25
Namutumba District,Ivukula Subcounty,28970.81
Bugiri District,Iwemba Subcounty,19875.91
Tororo District,Iyolwa Subcounty,20903.850000000002
Kalangala District,Bubeke Subcounty,10573.98
Mayuge District,Jaguzi Subcounty,13613.51
Mbale District,Bufumbo Subcounty,20348.68
Wakiso District,Nabweru Division,218905.9
Wakiso District,Kira Division,124627.94
Wakiso District,Ndejje Division,192591.46
Kampala District,Central Division,154846.08000000002
Rubanda District,Muko Subcounty,38848.51
Kalungu District,Kyamulibwa Subcounty,58225.9
Hoima District,Buseruka Subcounty,43780.15
Bunyangabu District,Buheesi Subcounty,22803.170000000002
Kabale District,Central Division,16366.7
Mubende District,Nabingoola Subcounty,74473.12
Mubende District,Kasambya Subcounty,78724.96
Kamwenge District,Kabambiro Subcounty,15948.52
Mukono District,Mpatta Subcounty,35318.700000000004
Butaleja District,Mazimasa Subcounty,33881.85
Kibaale District,Kabasekende Subcounty,7995.89
Lyantonde District,Kaliiro Subcounty,37722.72
Lyantonde District,Lyantonde Subcounty,37170.64
Kaberamaido District,Kaberamaido Town Council,4152.96
Kaberamaido District,Kaberamaido Town Council,4152.96
Kapchorwa District,Kabeywa Subcounty,5377.63
Kyotera District,Kabira Subcounty,63441.82
Buikwe District,Nyenga Division,102227.5
Pallisa District,Pallisa Subcounty,15862.0
Bunyangabu District,Kabonero Subcounty,19934.62
Wakiso District,Kasangati Town Council,293263.66000000003
Isingiro District,Kabuyanda Subcounty,21828.79
Mityana District,Ttamu Division,62179.04
Kalungu District,Kalungu Subcounty,81852.04000000001
Bushenyi District,Bumbaire Subcounty,14647.630000000001
Kyotera District,Kirumba Subcounty,51483.520000000004
Kyotera District,Kirumba Subcounty,51483.520000000004
Isingiro District,Kabuyanda Town Council,16867.28
Sheema District,Kabwohe Division,20374.43
Sheema District,Kabwohe Division,20374.43
Kalangala District,Bufumira Subcounty,21201.52
Rakai District,Kacheera Subcounty,49075.380000000005
Butaleja District,Mazimasa Subcounty,33881.85
Bukedea District,Kachumbala Subcounty,57084.66
Bukedea District,Kachumbala Subcounty,57084.66
Kagadi District,Kagadi Town Council,23580.82
Kasese District,Kisinga Town Council,16522.23
Kisoro District,Kanaba Subcounty,16595.36
Rubanda District,Bubaare Subcounty,34834.6
Kisoro District,Kanaba Subcounty,16595.36
Bukomansimbi District,Kibinge Subcounty,67561.82
Mbarara District,Kagongi Subcounty,21333.36
Buyende District,Kagulu Subcounty,78982.46
Kabale District,Kaharo Subcounty,19982.0
Kabale District,Maziba Subcounty,21704.16
Mityana District,Kikandwa Subcounty,61179.94
Jinja District,Buyengo Subcounty,33444.1
Bushenyi District,Kakanju Subcounty,23529.32
Rukiga District,Muhanga Town Council,12110.74
Mubende District,Kiyuni Subcounty,34774.86
Jinja District,Kakira Town Council,33673.79
Jinja District,Kakira Town Council,33673.79
Wakiso District,Kakiri Town Council,39669.42
Lwengo District,Kyazanga Subcounty,71630.32
Isingiro District,Kaberebere Town Council,6945.29
Kabale District,Kitumba Subcounty,19499.96
Nakasongola District,Kakooge Town Council,18490.56
Buyende District,Buyende Subcounty,44560.89
Rubanda District,Hamurwa Subcounty,27794.55
Bundibugyo District,Sindila Subcounty,7990.74
Kakumiro District,Kakumiro Town Council,10129.02
Luwero District,Kalagala Subcounty,91814.2
Kalangala District,Kalangala Town Council,10258.800000000001
Kalangala District,Kalangala Town Council,10258.800000000001
Mityana District,Kalangaalo Subcounty,63101.92
Kasese District,Kilembe Subcounty,13701.06
Lyantonde District,Kaliiro Subcounty,37722.72
Kyotera District,Kalisizo Town Council,28800.86
Kyotera District,Kalisizo Town Council,28800.86
Nakasongola District,Kalungi Subcounty,48978.56
Kalungu District,Lukaya Town Council,49775.78
Kalungu District,Kalungu Town Council,16718.96
Kumi District,Kanyum Subcounty,43055.03
Mityana District,Maanyi Subcounty,43849.16
Kanungu District,Kambuga Town Council,5999.75
Pallisa District,Kameke Subcounty,17839.600000000002
Budaka District,Kameruka Subcounty,15354.210000000001
Luwero District,Kamira Subcounty,54359.28
Serere District,Kasilo Town Council,3643.11
Mpigi District,Kammengo Subcounty,80181.38
Soroti District,Kamuda Subcounty,38133.69
Kabale District,Katuna Town Council,10370.04
Kabale District,Southern Division,21434.3
Masaka District,Kyesiiga Subcounty,51153.92
Kamuli District,Southern Division,29573.36
Kamuli District,Northern Division,31180.16
Kamwenge District,Kamwenge Town Council,19864.58
Kamwenge District,Kamwenge Subcounty,22670.3
Rukiga District,Kamwezi Subcounty,27334.14
Rukiga District,Kamwezi Subcounty,27334.14
Kampala District,Central Division,154846.08000000002
Kasese District,Karusandara Subcounty,12315.710000000001
Rukiga District,Bukinda Subcounty,10153.74
Butaleja District,Himutu Subcounty,15165.720000000001
Kayunga District,Kangulumira Subcounty,110733.24
Gomba District,Kanoni Town Council,25624.34
Kanungu District,Kanungu Town Council,15507.68
Mitooma District,Kanyabwanga Subcounty,18912.86
Bundibugyo District,Tokwe Subcounty,12120.01
Kanungu District,Kanyantorogo Subcounty,19517.47
Kiruhura District,Kanyaryeru Subcounty,7709.55
Mubende District,Butoloogo Subcounty,91410.44
Kumi District,Kanyum Subcounty,43055.03
Isingiro District,Kabuyanda Subcounty,21828.79
Ibanda District,Kicuzi Subcounty,17005.3
Hoima District,Kigorobya Subcounty,69134.63
Kapchorwa District,Central Division,13178.85
Nakaseke District,Kapeeka Subcounty,57335.98
Ngora District,Kapir Subcounty,32144.24
Bukwo District,Kaptererwo Subcounty,8998.08
Katakwi District,Kapujan Subcounty,13476.52
Kasese District,Karambi Subcounty,26565.760000000002
Rukungiri District,Southern Division,9490.42
Ntoroko District,Karugutu Town Council,10797.49
Rukungiri District,Kebisoni Subcounty,23115.260000000002
Buhweju District,Karungu Subcounty,15901.140000000001
Kasese District,Karusandara Subcounty,12315.710000000001
Kyegegwa District,Ruyonza Subcounty,29025.4
Kyotera District,Kasaali Town Council,54697.12
Lyantonde District,Kasagama Subcounty,22736.22
Iganga District,Nabitende Subcounty,29132.52
Kakumiro District,Kasambya Subcounty,32374.96
Kalungu District,Lwabenge Subcounty,70559.12
Isingiro District,Birere Subcounty,21865.87
Wakiso District,Kasangati Town Council,293263.66000000003
Wakiso District,Kasanje Subcounty,59756.48
Kyotera District,Kasasa Subcounty,35234.24
Mukono District,Kasawo Subcounty,74009.62
Mukono District,Kasawo Subcounty,74009.62
Kalangala District,Mugoye Subcounty,25181.440000000002
Kabarole District,Kasenda Subcounty,24812.7
Wakiso District,Kyengera Town Council,402793.86
Kapchorwa District,Kaserem Subcounty,4851.3
Kasese District,Kitswamba Subcounty,30598.21
Kasese District,Central Division,32662.33
Kasese District,Nyamwamba Division,57786.090000000004
Rubirizi District,Katunguru Subcounty,3919.15
Rukiga District,Kashambya Subcounty,26839.74
Mbarara District,Kashare Subcounty,23598.33
Rubanda District,Bufundi Subcounty,26358.73
Mitooma District,Kashenshero Town Council,5928.68
Kabale District,Kamuganguzi Subcounty,21310.7
Kiruhura District,Kashongi Subcounty,25782.96
Pallisa District,Kasodo Subcounty,14762.99
Wakiso District,Kakiri Subcounty,80622.22
Luwero District,Makulubita Subcounty,67767.82
Buikwe District,Buikwe Subcounty,37236.56
Kyegegwa District,Kasule Subcounty,24551.08
Bunyangabu District,Kibiito Subcounty,19360.91
Kabarole District,Busoro Subcounty,26763.52
Wakiso District,Division A,81337.04000000001
Wakiso District,Division A,81337.04000000001
Katakwi District,Katakwi Town Council,7990.74
Kyenjojo District,Bufunjo Subcounty,51541.200000000004
Masindi District,Nyangahya Division,13432.23
Rubirizi District,Katerera Town Council,9342.1
Serere District,Kateta Subcounty,56012.43
Serere District,Kateta Subcounty,56012.43
Kanungu District,Katete Subcounty,7494.28
Luwero District,Katikamu Subcounty,89498.76000000001
Luwero District,Wobulenzi Town Council,55718.880000000005
Budaka District,Katiira Subcounty,16679.82
Kasese District,Central Division,32662.33
Mukono District,Nama Subcounty,111792.08
Kyenjojo District,Katooke Town Council,15031.82
Lwengo District,Malongo Subcounty,79332.66
Lwengo District,Malongo Subcounty,79332.66
Kiryandongo District,Kiryandongo Subcounty,82767.71
Bushenyi District,Nyakabirizi Division,8409.95
Rubirizi District,Katunguru Subcounty,3919.15
Luwero District,Luwero Subcounty,69115.06
Kiboga District,Ddwaniro Subcounty,24946.600000000002
